game_id,year,round,a_team_id,a_name,a_seed,a_oe,a_de,a_sos,a_win_rate,a_srs,a_tov_rate,a_orb_rate,a_ft_pct,a_pos_per_game,a_fga_per_game,a_three_pa_per_game,a_fta_per_game,b_team_id,b_name,b_seed,b_oe,b_de,b_sos,b_win_rate,b_srs,b_tov_rate,b_orb_rate,b_ft_pct,b_pos_per_game,b_fga_per_game,b_three_pa_per_game,b_fta_per_game,team_a_won
71,2024,Men's Basketball Championship - Midwest Region - First Four,105,montana st,16,107.76,106.574,-4.46,0.486,-5.34,0.166855,0.096923,0.728,69.864,57.4857,24.6571,17.0286,90,grambling,16,100.995,103.897,-5.48,0.583,-9.63,0.196103,0.143449,0.708,67.0,54.3056,15.1944,20.8333,0
72,2024,Men's Basketball Championship - West Region - 1st Round,111,north carolina,1,115.97,99.7522,9.9,0.784,21.36,0.142667,0.172883,0.759,70.6616,62.7838,22.6757,22.7568,133,wagner,16,100.707,99.7491,-8.58,0.515,-10.64,0.156112,0.176704,0.704,63.28,57.9697,22.0303,15.0303,1
73,2024,Men's Basketball Championship - West Region - 1st Round,71,arizona,2,118.317,97.8366,9.45,0.75,24.54,0.162181,0.177645,0.717,73.6489,64.4722,21.5556,23.4444,99,long beach st,15,106.328,104.381,-1.19,0.583,-1.19,0.173651,0.171743,0.709,72.7833,62.1944,17.6944,23.75,1
74,2024,Men's Basketball Championship - East Region - 1st Round,95,iowa st,2,111.721,91.2772,8.51,0.784,22.3,0.155135,0.15754,0.702,67.4216,58.4865,18.5676,20.6757,116,s dakota st,15,111.648,103.927,-2.7,0.629,0.52,0.164864,0.120622,0.71,68.4549,57.9714,23.5143,16.9429,1
75,2024,Men's Basketball Championship - Midwest Region - 1st Round,124,tennessee,2,113.395,97.0012,10.42,0.75,21.81,0.146741,0.167533,0.751,69.4722,61.75,25.4167,20.8333,121,saint peter's,15,99.687,98.4292,-5.33,0.576,-4.58,0.192852,0.191455,0.712,65.0521,55.4545,17.8788,21.6061,1
76,2024,Men's Basketball Championship - Midwest Region - 1st Round,82,creighton,3,116.954,101.624,9.53,0.714,20.07,0.154554,0.122148,0.788,68.7691,60.0286,29.0857,14.8,69,akron,14,110.531,99.336,-2.08,0.686,2.77,0.168991,0.155695,0.727,66.6137,57.6571,24.6571,18.3429,1
77,2024,Men's Basketball Championship - East Region - 1st Round,94,illinois,3,119.297,104.95,9.54,0.763,19.56,0.151004,0.183012,0.736,69.8832,62.0,23.8947,23.0,106,morehead st,14,115.192,97.05,-5.52,0.743,0.51,0.180548,0.177925,0.706,65.3566,57.7429,26.0571,16.9143,1
78,2024,Men's Basketball Championship - South Region - 1st Round,98,kentucky,3,120.53,107.895,7.46,0.697,16.79,0.144407,0.136202,0.772,73.8655,64.6061,24.2424,19.6667,113,oakland,14,111.265,106.533,-1.24,0.667,2.02,0.160163,0.154905,0.751,68.68,60.1667,24.8611,18.5278,0
79,2024,Men's Basketball Championship - Midwest Region - 1st Round,97,kansas,4,108.801,100.627,11.32,0.676,16.35,0.168135,0.118584,0.721,69.4471,57.8529,17.2647,18.5294,117,samford,13,117.08,101.337,-3.23,0.829,6.32,0.176864,0.144212,0.723,73.5029,61.4857,25.4,21.8571,1
80,2024,Men's Basketball Championship - Midwest Region - 1st Round,89,gonzaga,5,122.506,100.19,4.02,0.771,17.93,0.141591,0.15691,0.721,69.0114,61.7714,19.2571,18.8571,102,mcneese,12,119.685,93.142,-6.81,0.882,6.42,0.144819,0.168149,0.693,66.8176,58.7353,19.7353,21.9118,1
